Max_Power (W),Boost_Clock (MHz),Core_Speed (MHz),Process (nm),Memory (GB),Memory_Bandwidth (GB/s),Power_Connector,SLI/Crossfire Support
141,1189.6225218080888,738,55,1024,64,10.29451395572666,Yes
215,1189.6225218080888,931.8667621776505,28.836178861788618,512,106,10.29451395572666,Yes
200,1189.6225218080888,931.8667621776505,28.836178861788618,512,51.2,10.29451395572666,Yes
45,1189.6225218080888,931.8667621776505,28.836178861788618,256,22.4,10.29451395572666,Yes
50,1189.6225218080888,931.8667621776505,28.836178861788618,256,35.2,10.29451395572666,Yes
190,1189.6225218080888,870,55,2048,134.4,12,Yes
150,1189.6225218080888,931.8667621776505,28.836178861788618,256,51.2,10.29451395572666,Yes
150,1189.6225218080888,931.8667621776505,28,2048,160,10.29451395572666,Yes
32,1189.6225218080888,931.8667621776505,28.836178861788618,64,2.9,10.29451395572666,No
250,1189.6225218080888,650,40,6144,177.6,14,Yes
225,1189.6225218080888,705,28,5120,168,10.29451395572666,No
245,1189.6225218080888,706,28,2792.3431903373594,288.4,10.29451395572666,Yes
150,1100,1050,28,3072,57.6,10.29451395572666,Yes
300,1189.6225218080888,931.8667621776505,28,8192,320,10.29451395572666,No
235,1189.6225218080888,732,28,6144,249.6,10.29451395572666,Yes
28,1000,300,14,2792.3431903373594,34.1,10.29451395572666,No
60,1189.6225218080888,931.8667621776505,28.836178861788618,256,23.4,10.29451395572666,No
238,1189.6225218080888,575,40,6144,144,10.29451395572666,No
247,1189.6225218080888,575,40,6144,144,10.29451395572666,No
15,1000,300,14,2792.3431903373594,34.1,10.29451395572666,No
238,1189.6225218080888,575,40,3072,144,10.29451395572666,No
28,1050,300,14,2792.3431903373594,34.1,10.29451395572666,No
15,950,300,14,2792.3431903373594,34.1,10.29451395572666,No
15,1100,931.8667621776505,22,2792.3431903373594,25.6,10.29451395572666,No
47,1050,300,14,2792.3431903373594,29.9,10.29451395572666,No
28,1100,300,14,2792.3431903373594,34.1,10.29451395572666,No
15,1050,300,14,2792.3431903373594,34.1,10.29451395572666,No
28,1100,300,14,2792.3431903373594,34.1,10.29451395572666,No
15,1050,300,14,2792.3431903373594,34.1,10.29451395572666,No
47,1150,300,14,2792.3431903373594,29.9,10.29451395572666,No
47,1000,300,14,2792.3431903373594,25.6,10.29451395572666,No
250,1531,931.8667621776505,16,2792.3431903373594,480,14,No
47,1100,300,14,2792.3431903373594,29.9,10.29451395572666,No
47,1050,300,14,2792.3431903373594,29.9,10.29451395572666,No
